Id,Raw_price,Price,Year,Raw_mileage,Mileage,Raw_engine,Volume,Gearbox,Private,3-doors
1,"490000,00",490000,2011,75000,75000,1.4 AMT,1.4,A,1,1
2,910 000 ₽,910000,2011,16150,16150,1.4 MT,1.4,M,1,0
3,480 000 ₽,480000,2010,175 000 км,175000,1.4 AMT,1.4,A,1,0
4,415 000 ₽,415000,2010,87 000 км,87000,1.6 AMT,1.6,A,0,1
5,449 000 ₽,449000,2010,108 500 км,108500,1.4 AMT,1.4,A,0,1
6,499 000 ₽,499000,2010,61 697 км,61697,1.4 AMT,1.4,A,0,0
7,530 000 ₽,530000,2011,15 407 км,15407,1.6 AMT,1.6,A,0,0
8,525 000 ₽,525000,2012,78 014 км,78014,1.4 AMT,1.4,A,0,0
9,490 000 ₽,490000,2011,56 786 км,56786,1.6 MT,1.6,M,0,0
10,460 000 ₽,460000,2011,184 311 км,184311,1.4 AMT,1.4,A,0,0
11,455 000 ₽,455000,2011,113 677 км,113677,1.4 AMT,1.4,A,0,0
12,390 000 ₽,390000,2012,108 500 км,108500,1.6 MT,1.6,M,0,0
13,485 000 ₽,485000,2012,91 762 км,91762,1.4 MT,1.4,M,0,0
14,525 000 ₽,525000,2011,108 852 км,108852,1.4 AMT,1.4,A,0,0
15,525 000 ₽,525000,2012,80 583 км,80583,1.4 AMT,1.4,A,0,0
16,448 900 ₽,448900,2010,77 000 км,77000,1.6 AMT,1.6,A,0,0
17,405 000 ₽,405000,2009,153 000 км,153000,1.6 AMT,1.6,A,0,0
18,380 000 ₽,380000,2009,144 466 км,144466,1.6 AMT,1.6,A,0,0
19,529 000 ₽,529000,2012,85 215 км,85215,1.6 AMT,1.6,A,0,0
20,460 000 ₽,460000,2012,69 211 км,69211,1.4 AMT,1.4,A,0,0
21,427 000 ₽,427000,2011,45 870 км,45870,1.4 AMT,1.4,A,0,0
22,457 000 ₽,457000,2012,44 587 км,44587,1.6 AMT,1.6,A,0,0
23,449 000 ₽,449000,2010,165 800 км,165800,1.4 AMT,1.4,A,0,0
24,465 000 ₽,465000,2011,110 060 км,110060,1.4 AMT,1.4,A,0,0
25,400 000 ₽,400000,2010,70 000 км,70000,1.4 MT,1.4,M,0,1
26,550 000 ₽,550000,2012,105 000 км,105000,1.6 AMT,1.6,A,1,0
27,535 000 ₽,535000,2012,91 000 км,91000,1.4 AMT,1.4,A,0,0
28,450 000 ₽,450000,2011,125 200 км,125200,1.6 MT,1.6,M,0,0
29,545 000 ₽,545000,2012,118 563 км,118563,1.4 MT,1.4,M,0,0
30,390 000 ₽,390000,2011,83 500 км,83500,1.4 MT,1.4,M,0,0
31,427 000 ₽,427000,2011,86 990 км,86990,1.4 MT,1.4,M,0,0
32,475 000 ₽,475000,2011,113 000 км,113000,1.4 MT,1.4,M,0,0
33,455 000 ₽,455000,2011,86 000 км,86000,1.4 AMT,1.4,A,0,0
34,518 000 ₽,518000,2012,87 000 км,87000,1.4 AMT,1.4,A,0,0
35,435 000 ₽,435000,2011,93 000 км,93000,1.2 AMT,1.2,A,0,0
36,545 000 ₽,545000,2012,70 000 км,70000,1.6 MT,1.6,M,0,0
37,595 000 ₽,595000,2012,44 611 км,44611,1.6 AMT,1.6,A,0,0
38,490 000 ₽,490000,2012,93 132 км,93132,1.4 AMT,1.4,A,0,0
39,400 000 ₽,400000,2011,80 600 км,80600,1.4 AMT,1.4,A,0,0
40,425 000 ₽,425000,2011,81 033 км,81033,1.4 AMT,1.4,A,0,0
41,500 000 ₽,500000,2011,95 500 км,95500,2.0 MT,2.0,M,0,1
42,440 000 ₽,440000,2012,108 000 км,108000,1.2 MT,1.2,M,0,0
43,480 000 ₽,480000,2010,89 000 км,89000,1.6 AMT,1.6,A,1,0
44,450 000 ₽,450000,2010,128 550 км,128550,1.6 AMT,1.6,A,1,0
45,425 000 ₽,425000,2010,79 000 км,79000,1.6 AMT,1.6,A,1,0
46,455 000 ₽,455000,2011,122 086 км,122086,1.4 MT,1.4,M,0,0
47,620 000 ₽,620000,2012,38 700 км,38700,1.6 AMT,1.6,A,1,0
48,389 000 ₽,389000,2010,35 556 км,35556,1.6 AMT,1.6,A,0,0
49,419 000 ₽,419000,2010,90 466 км,90466,1.6 AMT,1.6,A,0,0
50,427 000 ₽,427000,2010,107 558 км,107558,1.6 AMT,1.6,A,0,0
51,490 000 ₽,490000,2012,65 787 км,65787,1.4 AMT,1.4,A,0,0
52,550 000 ₽,550000,2011,122 452 км,122452,1.4 AMT,1.4,A,1,0
53,"600000,00",600000,2011,46 000 км,46000,1.4 MT,1.4,M,1,0
54,450 000 ₽,450000,2012,99 000 км,99000,1.6 MT,1.6,M,1,0
55,529 000 ₽,529000,2011,64 000 км,64000,1.4 AMT,1.4,A,1,0
56,415 000 ₽,415000,2009,82 169 км,82169,1.4 AMT,1.4,A,0,0
57,479 000 ₽,479000,2011,91 500 км,91500,1.4 AMT,1.4,A,0,0
58,480 000 ₽,480000,2010,125 000 км,125000,1.6 AMT,1.6,A,1,0
59,488 000 ₽,488000,2011,63 635 км,63635,1.6 AMT,1.6,A,0,0
60,390 000 ₽,390000,2009,158 700 км,158700,1.4 MT,1.4,M,1,0
61,540 000 ₽,540000,2012,98 500 км,98500,1.4 AMT,1.4,A,1,0
62,435 000 ₽,435000,2012,63 000 км,63000,1.2 MT,1.2,M,0,0
63,540 000 ₽,540000,2011,52 000 км,52000,1.2 MT,1.2,M,1,1
64,395 000 ₽,395000,2009,105 000 км,105000,1.6 AMT,1.6,A,0,0
65,590 000 ₽,590000,2012,75 134 км,75134,1.6 AMT,1.6,A,1,0
66,479 000 ₽,479000,2010,76 523 км,76523,1.6 AMT,1.6,A,0,0
67,499 000 ₽,499000,2012,68 659 км,68659,1.4 MT,1.4,M,0,0
68,360 000 ₽,360000,2011,116 000 км,116000,1.2 MT,1.2,M,1,1
69,400 000 ₽,400000,2009,80 500 км,80500,1.6 MT,1.6,M,1,1
70,469 000 ₽,469000,2011,96 980 км,96980,1.4 AMT,1.4,A,0,1
71,450 000 ₽,450000,2011,78 000 км,78000,1.4 AMT,1.4,A,1,0
72,499 000 ₽,499000,2011,87 500 км,87500,1.6 MT,1.6,M,0,0
73,485 000 ₽,485000,2011,104 000 км,104000,1.4 AMT,1.4,A,1,0
74,525 000 ₽,525000,2012,78 350 км,78350,1.6 MT,1.6,M,1,0
75,540 000 ₽,540000,2012,95 000 км,95000,1.4 AMT,1.4,A,1,0
76,599 999 ₽,599999,2012,102 000 км,102000,1.4 AMT,1.4,A,1,0
77,590 000 ₽,590000,2011,112 000 км,112000,1.4 AMT,1.4,A,1,0
78,405 000 ₽,405000,2010,88 000 км,88000,1.6 AMT,1.6,A,1,0
79,450 000 ₽,450000,2011,114 000 км,114000,1.6 MT,1.6,M,1,0
80,595 000 ₽,595000,2011,81 000 км,81000,1.4 AMT,1.4,A,1,0
81,480 000 ₽,480000,2011,46 600 км,46600,1.6 AMT,1.6,A,1,0
82,525 000 ₽,525000,2012,107 000 км,107000,1.4 AMT,1.4,A,1,0
83,450 000 ₽,450000,2011,90 000 км,90000,1.4 AMT,1.4,A,1,1
84,500 000 ₽,500000,2011,127 500 км,127500,1.4 MT,1.4,M,1,0
85,499 000 ₽,499000,2012,98 000 км,98000,1.4 MT,1.4,M,1,0
86,395 000 ₽,395000,2011,120 000 км,120000,1.2 AMT,1.2,A,1,0
87,405 000 ₽,405000,2010,87 000 км,87000,1.4 AMT,1.4,A,1,0
88,480 000 ₽,480000,2012,65 000 км,65000,1.6 AMT,1.6,A,1,0
89,445 000 ₽,445000,2010,94 000 км,94000,1.6 AMT,1.6,A,1,0
90,600 000 ₽,600000,2011,47 000 км,47000,1.6 AMT,1.6,A,1,0
91,441 000 ₽,441000,2010,186 000 км,186000,1.4 MT,1.4,M,1,0
92,520 000 ₽,520000,2011,141 000 км,141000,1.6 AMT,1.6,A,1,0
93,470 000 ₽,470000,2011,55 000 км,55000,1.6 AMT,1.6,A,1,0
94,520 000 ₽,520000,2011,110 000 км,110000,1.2 AMT,1.2,A,1,0
95,425 000 ₽,425000,2010,138 400 км,138400,1.4 AMT,1.4,A,1,0
96,510 000 ₽,510000,2011,60 400 км,60400,1.6 AMT,1.6,A,1,0
97,425 000 ₽,425000,2009,156 000 км,156000,1.6 MT,1.6,M,1,0
98,530 000 ₽,530000,2012,69 000 км,69000,1.6 AMT,1.6,A,1,0
99,465 000 ₽,465000,2011,134 000 км,134000,1.4 MT,1.4,M,1,0
100,460 000 ₽,460000,2009,68 000 км,68000,1.4 MT,1.4,M,1,1
101,555 000 ₽,555000,2011,78 350 км,78350,1.4 AMT,1.4,A,1,0
102,540 000 ₽,540000,2012,130 000 км,130000,1.6 MT,1.6,M,1,0
103,530 000 ₽,530000,2012,100 000 км,100000,1.4 AMT,1.4,A,1,0
104,420 000 ₽,420000,2009,120 000 км,120000,1.4 MT,1.4,M,1,0
105,460 000 ₽,460000,2011,92 000 км,92000,1.4 AMT,1.4,A,1,0
106,680 000 ₽,680000,2011,33 000 км,33000,1.6 MT,1.6,M,1,0
107,495 000 ₽,495000,2011,126 000 км,126000,1.4 AMT,1.4,A,1,0
108,500 000 ₽,500000,2012,142 000 км,142000,1.6 MT,1.6,M,1,0
109,430 000 ₽,430000,2012,103 000 км,103000,1.2 AMT,1.2,A,1,1
110,750 000 ₽,750000,2012,72 500 км,72500,1.4 AMT,1.4,A,1,0
111,516 000 ₽,516000,2011,110 000 км,110000,1.6 MT,1.6,M,1,0
112,550 000 ₽,550000,2011,92 000 км,92000,1.4 AMT,1.4,A,1,0
113,460 000 ₽,460000,2011,109 500 км,109500,1.4 AMT,1.4,A,1,0
114,475 000 ₽,475000,2012,168 000 км,168000,1.4 AMT,1.4,A,1,0
115,500 000 ₽,500000,2012,77 000 км,77000,1.4 AMT,1.4,A,1,0
116,400 000 ₽,400000,2008,229 000 км,229000,1.4 AT,1.4,A,1,1
117,595 000 ₽,595000,2012,92 000 км,92000,1.4 MT,1.4,M,1,1
118,440 000 ₽,440000,2012,188 000 км,188000,1.6 MT,1.6,M,1,0
119,440 000 ₽,440000,2010,140 000 км,140000,1.4 AMT,1.4,A,1,0
120,407 000 ₽,407000,2010,133 917 км,133917,1.6 AMT,1.6,A,0,0
121,420 000 ₽,420000,2009,153 000 км,153000,1.4 AMT,1.4,A,1,0
122,475 000 ₽,475000,2010,62 300 км,62300,1.4 AMT,1.4,A,1,1
123,687 000 ₽,687000,2012,29 800 км,29800,1.4 AMT,1.4,A,1,0
124,530 000 ₽,530000,2011,83 000 км,83000,1.6 AMT,1.6,A,1,0
125,550 000 ₽,550000,2010,172 000 км,172000,1.6 AT,1.6,A,1,0
126,490 000 ₽,490000,2011,75 000 км,75000,1.4 AMT,1.4,A,1,0
127,570 000 ₽,570000,2011,111 500 км,111500,1.4 MT,1.4,M,1,0
128,550 000 ₽,550000,2010,68 000 км,68000,1.6 AMT,1.6,A,1,0
129,470 000 ₽,470000,2011,79 000 км,79000,1.4 MT,1.4,M,1,1
130,535 000 ₽,535000,2012,83 800 км,83800,1.4 AMT,1.4,A,1,0
131,469 000 ₽,469000,2010,140 000 км,140000,1.4 MT,1.4,M,1,0
132,585 000 ₽,585000,2011,31 000 км,31000,1.6 MT,1.6,M,1,0
133,420 000 ₽,420000,2011,147 000 км,147000,1.4 MT,1.4,M,1,0
134,430 500 ₽,430500,2010,86 000 км,86000,1.6 AMT,1.6,A,1,1
135,450 000 ₽,450000,2011,110 000 км,110000,1.4 MT,1.4,M,1,1
136,460 000 ₽,460000,2011,95 000 км,95000,1.4 AMT,1.4,A,1,0
137,500 000 ₽,500000,2012,56 000 км,56000,1.4 AMT,1.4,A,1,0
138,580 000 ₽,580000,2012,112 000 км,112000,1.4 AMT,1.4,A,1,0
139,419 900 ₽,419900,2011,81 020 км,81020,1.4 AMT,1.4,A,0,0
140,457 000 ₽,457000,2012,80 631 км,80631,1.6 MT,1.6,M,0,0
141,484 000 ₽,484000,2010,109 500 км,109500,1.4 AMT,1.4,A,1,0
142,477 000 ₽,477000,2010,109 500 км,109500,1.4 AMT,1.4,A,1,0
143,550 000 ₽,550000,2011,114 000 км,114000,1.6 AMT,1.6,A,1,0
144,370 000 ₽,370000,2010,149 000 км,149000,1.6 AMT,1.6,A,1,0
145,465 000 ₽,465000,2011,83 000 км,83000,1.4 AMT,1.4,A,1,0
146,555 000 ₽,555000,2012,86 000 км,86000,1.4 MT,1.4,M,1,0
147,465 000 ₽,465000,2012,69 000 км,69000,1.4 AMT,1.4,A,1,0
148,500 000 ₽,500000,2011,118 000 км,118000,1.4 AMT,1.4,A,1,0
149,410 000 ₽,410000,2011,137 500 км,137500,1.4 MT,1.4,M,0,0
150,390 000 ₽,390000,2011,132 500 км,132500,1.4 MT,1.4,M,1,0
151,480 000 ₽,480000,2011,136 000 км,136000,1.4 MT,1.4,M,1,1
152,459 000 ₽,459000,2012,114 829 км,114829,1.6 MT,1.6,M,0,0
153,400 000 ₽,400000,2010,89 906 км,89906,1.6 AMT,1.6,A,0,0
154,450 000 ₽,450000,2009,139 000 км,139000,1.4 AMT,1.4,A,1,0
155,630 000 ₽,630000,2012,56 000 км,56000,1.6 AMT,1.6,A,1,0
156,490 000 ₽,490000,2010,88 000 км,88000,1.4 AMT,1.4,A,1,0
157,599 999 ₽,599999,2012,77 581 км,77581,1.2 AMT,1.2,A,0,0
158,460 000 ₽,460000,2011,85 758 км,85758,1.2 AMT,1.2,A,1,0
159,450 000 ₽,450000,2010,150 000 км,150000,1.6 AMT,1.6,A,1,0
160,497 700 ₽,497700,2011,75 000 км,75000,1.6 AMT,1.6,A,0,0
161,400 000 ₽,400000,2009,71 000 км,71000,1.6 AMT,1.6,A,1,0
162,420 000 ₽,420000,2011,107 800 км,107800,1.4 AMT,1.4,A,1,0
163,515 000 ₽,515000,2012,70 000 км,70000,1.4 AMT,1.4,A,1,0
164,450 000 ₽,450000,2010,112 000 км,112000,1.4 AMT,1.4,A,1,0
165,430 000 ₽,430000,2010,130 000 км,130000,1.4 MT,1.4,M,1,1
166,400 000 ₽,400000,2010,182 500 км,182500,1.4 AMT,1.4,A,0,0
167,485 000 ₽,485000,2011,115 000 км,115000,1.6 AMT,1.6,A,0,0
168,440 000 ₽,440000,2010,120 000 км,120000,1.6 AMT,1.6,A,0,0
169,430 000 ₽,430000,2011,150 000 км,150000,1.4 MT,1.4,M,1,0
170,500 000 ₽,500000,2012,50 000 км,50000,1.4 AMT,1.4,A,1,0
171,509 000 ₽,509000,2010,150 000 км,150000,1.4 AMT,1.4,A,1,0
172,490 000 ₽,490000,2010,75 000 км,75000,1.6 AMT,1.6,A,1,0
173,350 000 ₽,350000,2010,79 300 км,79300,1.6 AMT,1.6,A,1,0
174,470 000 ₽,470000,2009,120 000 км,120000,1.4 AMT,1.4,A,1,0
175,520 000 ₽,520000,2011,111 000 км,111000,1.4 MT,1.4,M,1,1
176,385 000 ₽,385000,2011,125 000 км,125000,1.2 MT,1.2,M,1,0
177,410 000 ₽,410000,2010,51 000 км,51000,1.2 AMT,1.2,A,1,0
178,470 000 ₽,470000,2011,96 000 км,96000,1.6 AMT,1.6,A,1,0
179,420 000 ₽,420000,2012,154 000 км,154000,1.6 MT,1.6,M,1,1
180,480 000 ₽,480000,2011,95 000 км,95000,1.4 AMT,1.4,A,1,0
181,435 000 ₽,435000,2011,114 503 км,114503,1.6 AMT,1.6,A,0,0
182,530 000 ₽,530000,2012,72 750 км,72750,1.4 AMT,1.4,A,1,0
183,510 000 ₽,510000,2011,130 000 км,130000,1.4 AMT,1.4,A,1,0
184,420 000 ₽,420000,2010,110 000 км,110000,1.6 AMT,1.6,A,1,0
185,"400000,00",400000,2010,120 000 км,120000,1.6 AMT,1.6,A,1,0
186,480 000 ₽,480000,2012,108 000 км,108000,1.4 AMT,1.4,A,1,0
187,420 000 ₽,420000,2010,122 000 км,122000,1.4 AMT,1.4,A,1,0
188,585 000 ₽,585000,2011,74 000 км,74000,1.4 AMT,1.4,A,1,0
189,555 000 ₽,555000,2012,68 000 км,68000,1.4 MT,1.4,M,1,0
190,470 000 ₽,470000,2011,141 000 км,141000,1.4 AMT,1.4,A,1,0
191,541 000 ₽,541000,2012,73 000 км,73000,1.4 AMT,1.4,A,1,0
192,375 000 ₽,375000,2009,115 000 км,115000,1.4 MT,1.4,M,1,1
193,515 000 ₽,515000,2011,110 000 км,110000,1.4 MT,1.4,M,1,0
194,525 000 ₽,525000,2010,99 500 км,99500,1.4 AMT,1.4,A,1,0
195,380 000 ₽,380000,2010,115 000 км,115000,1.6 AMT,1.6,A,1,0
196,528 000 ₽,528000,2011,79 000 км,79000,1.6 MT,1.6,M,0,0
197,620 000 ₽,620000,2012,98 000 км,98000,1.4 AMT,1.4,A,1,0
198,490 000 ₽,490000,2012,90 000 км,90000,1.4 MT,1.4,M,1,0
199,530 000 ₽,530000,2011,114 000 км,114000,1.2 MT,1.2,M,1,0
200,450 000 ₽,450000,2009,233 000 км,233000,1.4 AMT,1.4,A,1,0
201,435 000 ₽,435000,2010,153 000 км,153000,1.4 AMT,1.4,A,1,1
202,519 000 ₽,519000,2011,103 200 км,103200,1.4 AMT,1.4,A,1,0
203,440 000 ₽,440000,2010,102 000 км,102000,1.4 MT,1.4,M,1,0
204,520 000 ₽,520000,2010,92 000 км,92000,1.4 AMT,1.4,A,1,0
205,450 000 ₽,450000,2010,85 000 км,85000,1.4 AMT,1.4,A,1,0
206,600 000 ₽,600000,2012,61 000 км,61000,1.6 MT,1.6,M,1,0
207,550 000 ₽,550000,2012,71 000 км,71000,1.4 MT,1.4,M,1,0
208,590 000 ₽,590000,2012,62 000 км,62000,1.6 AMT,1.6,A,1,0
209,480 000 ₽,480000,2011,69 000 км,69000,1.6 AMT,1.6,A,1,0
210,520 000 ₽,520000,2011,131 000 км,131000,1.4 AMT,1.4,A,1,0
211,525 000 ₽,525000,2012,80 000 км,80000,1.6 AMT,1.6,A,1,0
212,500 000 ₽,500000,2010,103 000 км,103000,1.6 AMT,1.6,A,1,0
213,499 000 ₽,499000,2012,75 000 км,75000,1.6 AMT,1.6,A,0,0
214,800 000 ₽,800000,2012,160 000 км,160000,1.8 AMT,1.8,A,1,0
215,450 000 ₽,450000,2011,130 000 км,130000,1.4 MT,1.4,M,1,0
216,560 000 ₽,560000,2011,94 000 км,94000,1.4 AMT,1.4,A,1,0
217,450 000 ₽,450000,2011,125 791 км,125791,1.4 MT,1.4,M,1,1
218,470 000 ₽,470000,2011,82 100 км,82100,1.4 MT,1.4,M,1,0
219,445 000 ₽,445000,2011,98 000 км,98000,1.4 MT,1.4,M,1,0
220,400 000 ₽,400000,2011,120 000 км,120000,1.4 MT,1.4,M,1,0
221,400 000 ₽,400000,2011,71 000 км,71000,1.4 AMT,1.4,A,0,0
222,425 000 ₽,425000,2010,86 345 км,86345,1.6 AMT,1.6,A,1,0
223,450 000 ₽,450000,2010,170 300 км,170300,1.6 MT,1.6,M,1,0
224,470 000 ₽,470000,2011,97 000 км,97000,1.4 MT,1.4,M,1,0
225,499 000 ₽,499000,2010,126 000 км,126000,1.4 MT,1.4,M,1,0
226,525 000 ₽,525000,2012,41 000 км,41000,1.6 AMT,1.6,A,1,0
227,500 000 ₽,500000,2012,198 000 км,198000,1.6 AMT,1.6,A,1,0
228,465 000 ₽,465000,2010,114 000 км,114000,1.6 MT,1.6,M,1,0
229,470 000 ₽,470000,2010,75 000 км,75000,1.6 MT,1.6,M,1,1
230,580 000 ₽,580000,2012,140 000 км,140000,1.6 MT,1.6,M,1,0
231,510 000 ₽,510000,2012,105 000 км,105000,1.4 MT,1.4,M,1,1
232,560 000 ₽,560000,2011,43 000 км,43000,1.2 MT,1.2,M,1,0
233,450 000 ₽,450000,2011,95 000 км,95000,1.2 MT,1.2,M,1,0
234,540 000 ₽,540000,2011,97 000 км,97000,1.6 AMT,1.6,A,1,0
235,470 000 ₽,470000,2010,136 000 км,136000,1.6 MT,1.6,M,1,1
236,399 000 ₽,399000,2009,158 000 км,158000,1.6 AMT,1.6,A,1,0
237,850 000 ₽,850000,2011,65 000 км,65000,1.4 MT,1.4,M,1,1
238,380 000 ₽,380000,2010,125 000 км,125000,1.6 AMT,1.6,A,1,0
239,470 000 ₽,470000,2011,92 000 км,92000,1.2 MT,1.2,M,1,1
240,470 000 ₽,470000,2011,116 000 км,116000,1.4 AMT,1.4,A,1,0
